market_ticker,series,family,class,timestamp,track,arm,prior_outcome,streak_direction,streak_length,strike,spot,z_dir,model_prob_yes,market_yes_bid,market_yes_ask,exec_price,edge,fee,slippage,side,size,kelly_units,resolution,gross_pnl,net_pnl,split
KXMLBTOTAL-26AUG241840TBDET-11,KXMLBTOTAL,KXMLBTOTAL|11,BASEBALL_TOTAL,2026-08-25T00:24:31Z,A,A0_mirror,yes,yes,1,10.5,,,0.321956,14,15,86,-20.1956,1,1,no,1,2,no,14,12,holdout
KXMLBTOTAL-26AUG241840TBDET-12,KXMLBTOTAL,KXMLBTOTAL|12,BASEBALL_TOTAL,2026-08-25T00:24:31Z,A,A0_mirror,yes,yes,1,11.5,,,0.269824,8,9,92,-20.9824,1,1,no,1,2,no,8,6,holdout
KXMLBTOTAL-26AUG241840TBDET-9,KXMLBTOTAL,KXMLBTOTAL|9,BASEBALL_TOTAL,2026-08-25T00:24:31Z,A,A0_mirror,yes,yes,1,8.5,,,0.469713,32,34,68,-17.9713,2,1,no,1,2,no,32,29,holdout
KXMLBTOTAL-26AUG241940TEXCWS-8,KXMLBTOTAL,KXMLBTOTAL|8,BASEBALL_TOTAL,2026-08-25T00:39:47Z,A,A0_mirror,no,no,1,7.5,,,0.551732,88,90,90,-36.8268,1,1,yes,1,4,yes,10,8,holdout
KXMLBTOTAL-26AUG241940TEXCWS-9,KXMLBTOTAL,KXMLBTOTAL|9,BASEBALL_TOTAL,2026-08-25T00:39:47Z,A,A0_mirror,no,no,1,8.5,,,0.469713,82,84,84,-39.0287,1,1,yes,1,4,yes,16,14,holdout
KXMLBTOTAL-26AUG241845COLWSH-13,KXMLBTOTAL,KXMLBTOTAL|13,BASEBALL_TOTAL,2026-08-25T00:44:31Z,A,A0_mirror,yes,yes,1,12.5,,,0.253122,15,17,85,-12.3122,1,1,no,1,1,yes,-85,-87,holdout
KXMLBTOTAL-26AUG241840BOSMIA-5,KXMLBTOTAL,KXMLBTOTAL|5,BASEBALL_TOTAL,2026-08-25T00:49:36Z,A,A0_mirror,yes,yes,4,4.5,,,0.840914,50,58,50,-37.0914,2,1,no,1,4,yes,-50,-53,holdout
KXMLBTOTAL-26AUG241840BOSMIA-6,KXMLBTOTAL,KXMLBTOTAL|6,BASEBALL_TOTAL,2026-08-25T00:49:36Z,A,A0_mirror,no,no,1,5.5,,,0.739294,29,36,71,-47.9294,2,1,no,1,4,yes,-71,-74,holdout
KXMLBTOTAL-26AUG241840BOSMIA-7,KXMLBTOTAL,KXMLBTOTAL|7,BASEBALL_TOTAL,2026-08-25T00:49:36Z,A,A0_mirror,no,no,1,6.5,,,0.670567,24,26,76,-46.0567,2,1,no,1,4,no,24,21,holdout
KXMLBTOTAL-26AUG241840BOSMIA-8,KXMLBTOTAL,KXMLBTOTAL|8,BASEBALL_TOTAL,2026-08-25T00:49:36Z,A,A0_mirror,yes,yes,1,7.5,,,0.551732,14,16,86,-43.1732,1,1,no,1,4,no,14,12,holdout
KXMLBTOTAL-26AUG241840BOSMIA-9,KXMLBTOTAL,KXMLBTOTAL|9,BASEBALL_TOTAL,2026-08-25T00:49:36Z,A,A0_mirror,yes,yes,1,8.5,,,0.469713,9,10,91,-39.9713,1,1,no,1,4,no,9,7,holdout
KXMLBTOTAL-26AUG241840BOSMIA-11,KXMLBTOTAL,KXMLBTOTAL|11,BASEBALL_TOTAL,2026-08-25T00:49:37Z,A,A0_mirror,no,no,1,10.5,,,0.321956,3,8,97,-31.1956,1,1,no,1,3,no,3,1,holdout
KXMLBTOTAL-26AUG241840BOSMIA-12,KXMLBTOTAL,KXMLBTOTAL|12,BASEBALL_TOTAL,2026-08-25T00:49:37Z,A,A0_mirror,no,no,1,11.5,,,0.269824,1,4,99,-27.9824,1,1,no,1,2,no,1,-1,holdout
KXMLBTOTAL-26AUG241940TEXCWS-10,KXMLBTOTAL,KXMLBTOTAL|10,BASEBALL_TOTAL,2026-08-25T00:59:48Z,A,A0_mirror,no,no,2,9.5,,,0.392086,87,94,94,-56.7914,1,1,yes,1,4,yes,6,4,holdout
KXMLBTOTAL-26AUG242140PHISEA-4,KXMLBTOTAL,KXMLBTOTAL|4,BASEBALL_TOTAL,2026-08-25T01:14:32Z,A,A0_mirror,yes,yes,9,3.5,,,0.885006,82,83,18,-9.5006,2,1,no,1,4,yes,-18,-21,holdout
KXMLBTOTAL-26AUG242140PHISEA-5,KXMLBTOTAL,KXMLBTOTAL|5,BASEBALL_TOTAL,2026-08-25T01:14:32Z,A,A0_mirror,yes,yes,5,4.5,,,0.840914,74,75,26,-13.0914,2,1,no,1,4,yes,-26,-29,holdout
KXMLBTOTAL-26AUG242140PHISEA-6,KXMLBTOTAL,KXMLBTOTAL|6,BASEBALL_TOTAL,2026-08-25T01:14:32Z,A,A0_mirror,yes,yes,1,5.5,,,0.739294,61,62,39,-15.9294,2,1,no,1,3,yes,-39,-42,holdout
KXMLBTOTAL-26AUG242140PHISEA-7,KXMLBTOTAL,KXMLBTOTAL|7,BASEBALL_TOTAL,2026-08-25T01:29:41Z,A,A0_mirror,no,no,2,6.5,,,0.670567,52,53,48,-18.0567,2,1,no,1,3,yes,-48,-51,holdout
KXMLBTOTAL-26AUG241940TEXCWS-11,KXMLBTOTAL,KXMLBTOTAL|11,BASEBALL_TOTAL,2026-08-25T01:34:28Z,A,A0_mirror,no,no,2,10.5,,,0.321956,78,80,80,-50.8044,2,1,yes,1,4,yes,20,17,holdout
KXMLBTOTAL-26AUG241940TEXCWS-12,KXMLBTOTAL,KXMLBTOTAL|12,BASEBALL_TOTAL,2026-08-25T01:54:34Z,A,A0_mirror,no,no,2,11.5,,,0.269824,69,71,71,-47.0176,2,1,yes,1,4,yes,29,26,holdout
KXMLBTOTAL-26AUG241940TEXCWS-13,KXMLBTOTAL,KXMLBTOTAL|13,BASEBALL_TOTAL,2026-08-25T01:54:34Z,A,A0_mirror,yes,yes,2,12.5,,,0.253122,53,55,55,-32.6878,2,1,yes,1,4,yes,45,42,holdout
KXMLBTOTAL-26AUG242140PHISEA-8,KXMLBTOTAL,KXMLBTOTAL|8,BASEBALL_TOTAL,2026-08-25T01:54:34Z,A,A0_mirror,no,no,1,7.5,,,0.551732,45,46,55,-13.1732,2,1,no,1,2,yes,-55,-58,holdout
