# ops request [READ]
# type=db  id=k-fit-1
# code ca5e101ef04586abcdfcff023c6170617bf5bce5 · started 2026-09-07T15:35:19Z
series                      contests  losses  entry  awin     aloss   
KXDIMAYORTOTAL              8         2       11.2   75.92    -50.26  
KXPERLIGA1TOTAL             8         1       10.8   48.60    -53.64  
KXDENSUPERLIGAGAME          8         0       13.7   28.89            
KXDOTA2MAP                  8         0       29.3   23.80            
KXUELGAME                   8         0       31.7   26.56            
KXEGYPLTOTAL                8         0       10.6   43.46            
KXUCLSPREAD                 7         1       9.6    68.50    -160.60 
KXNFL1H                     7         0       7.0    24.18            
KXSUPERLIGTOTAL             7         0       8.1    39.49            
KXNFL1HTOTAL                7         1       12.0   32.51    -346.86 
KXSUPERLIGGAME              7         1       15.2   18.20    -32.85  
KXLIGAPORTUGALTOTAL         7         0       12.8   81.17            
KXINX                       7         1       8.9    109.68   -497.70 
KXUAEPLGAME                 7         2       13.1   24.99    -53.64  
KXBRENTD                    7         1       9.9    111.23   -244.00 
KXDENSUPERLIGATOTAL         7         0       8.6    52.36            
KXCHLLDPGAME                7         2       10.9   37.65    -53.70  
KXNBASUMMERTOTAL            6         2       23.6   144.75   -95.00  
KXSOLD                      6         1       16.3   82.18    -156.70 
KXUFCVICROUND               6         1       9.1    54.51    -73.00  
KXLNBPGAME                  6         0       14.9   26.34            
KXBELGIANPLTOTAL            6         0       8.7    54.66            
KXCONMEBOLSUDGAME           6         0       9.3    28.59            
KXARGNACBGAME               6         2       10.8   26.61    -231.20 
KXSCOTTISHPREMGAME          6         0       13.0   26.06            
KXNFL1HSPREAD               6         0       16.4   52.29            
KXWT20MATCH                 6         2       18.4   27.82    -61.96  
KXBUNDESLIGA2TOTAL          6         0       11.4   16.81            
KXCOPPERD                   6         0       9.6    133.95           
KXCHLLDPTOTAL               6         1       8.8    41.47    -258.66 
KXWCFTTS                    6         2       19.4   59.75    -100.50 
KXLEAGUESCUP1H              6         0       9.9    43.47            
KXDIESELD                   5         1       18.5   51.91    -634.00 
KXURYPDGAME                 5         0       26.6   22.09            
KXITFWDOUBLES               5         1       17.7   19.45    -84.00  
KXEPL1H                     5         0       7.6    16.33            
KXNASDAQ100                 5         1       8.4    98.61    -37.89  
KXWTIW                      5         2       7.8    118.91   -46.67  
KXBRASILEIROBGAME           5         1       8.5    35.89    -372.44 
KXLEAGUESCUPTEAMTOTAL       5         0       14.8   59.80            
KXTRUTHSOCIAL               5         4       12.3   13.57    -517.66 
KXSERIEASPREAD              5         0       18.0   22.13            
KXCODGAME                   5         2       25.8   76.67    -31.00  
KXCZEFLGAME                 5         0       9.6    26.29            
KXDPWORLDTOUR               5         3       11.6   118.50   -199.14 
KXLIGAMX1HTOTAL             5         2       14.5   23.63    -71.40  
KXELITESERIENGAME           5         1       13.1   32.52    -74.39  
KXNCAAF1HTOTAL              5         0       14.0   103.40           
KXWODIMATCH                 5         0       22.9   39.80            
KXNCAAFTEAMTOTAL            5         1       18.5   100.32   -816.33 
KXWC1HBTTS                  5         1       23.8   35.25    -81.00  
KXASEANTOTAL                5         1       9.6    65.45    -26.12  
KXBIGBROTHERELIMINATION     4         3       10.3   83.00    -108.99 
KXBRENTW                    4         0       11.3   326.68           
KXWFIBAGAME                 4         0       18.3   28.36            
KXWTAEXACTMATCH             4         0       11.5   47.01            
KXCHNSLSPREAD               4         1       8.0    29.52    -517.32 
KXEPL1HTOTAL                4         0       9.0    15.01            
KXH100WS                    4         2       28.0   44.31    -51.48  
KXTRUEV                     4         0       36.5   64.81            
KXASEANGAME                 4         0       20.8   24.62            
KXUAEPLTOTAL                4         1       9.5    23.94    -1072.98
KXELITESERIENTOTAL          4         0       9.4    115.33           
KXLPGATOUR                  4         0       14.2   150.59           
KXAPRPOTUS                  4         0       11.0   105.31           
KXNETFLIXRANKSHOW           4         0       14.8   77.64            
KXCFLGAME                   4         0       18.8   45.20            
KXYTVIEWSHIGH               4         2       8.5    75.79    -437.58 
KXLEAGUESCUPBTTS            4         0       19.0   49.68            
KXEPLTEAMTOTAL              4         0       9.2    29.77            
KXLIGAMX1H                  4         0       12.4   25.38            
KXTFF1LIGTOTAL              4         0       15.5   52.22            
KXNASCARTOP10               4         1       12.0   73.68    -62.79  
KXHORMUZWEEKLY              4         0       24.1   200.81           
KXTFF1LIGGAME               4         0       17.2   50.02            
KXSILVERD                   3         1       11.7   59.52    -992.00 
KXNETFLIXRANKMOVIE          3         0       50.9   39.70            
KXNCAAF2HSPREAD             3         0       14.0   77.84            
KXJ2LEAGUEGAME              3         0       10.8   23.31            
KXWCFIRSTGOAL               3         1       11.1   388.00   -52.00  
KXCOPADOBRASILTOTAL         3         0       9.3    33.14            
KXWFIBATOTAL                3         0       9.5    42.66            
KXNASCARRACE                3         2       8.2    99.97    -363.75 
KXGOLDW                     3         1       14.6   147.42   -35.05  
KXB200WS                    3         1       26.6   141.47   -85.24  
KXSWISSLEAGUEGAME           3         2       13.1   7.87     -209.00 
KXNETFLIXRANKMOVIERUNNERUP  3         1       42.0   30.55    -37.93  
KXKBOSPREAD                 3         0       10.8   24.62            
KXH200WS                    3         0       16.3   143.90           
KXGRECUPGAME                3         0       6.7    39.69            
KXEKSTRAKLASAGAME           3         0       13.5   30.11            
KXAPRPOTUSD                 3         1       9.0    15.75    -42.92  
KXCHAMPTOUR                 3         1       10.0   54.88    -241.88 
KXLIGAMXTEAMTOTAL           3         0       15.9   43.71            
KXWCAWARD                   3         2       11.9   72.00    -352.50 
KXCHINAAI                   3         0       68.8   16.43            
KXLIVTOUR                   3         0       10.4   159.06           
KXRTX5090WS                 3         1       19.8   159.12   -50.75  
KXALLSVENSKANSPREAD         3         0       10.4   132.94           
KXCONMEBOLSUDSPREAD         3         0       7.5    30.16            
KXKFTOUR                    3         1       9.9    139.38   -218.00 
KXTOPMODEL                  3         0       15.3   60.49            
KXWNBA1HWINNER              3         0       8.3    17.39            
KXLALIGA2TOTAL              3         0       11.4   19.36            
KXCZEFNLTOTAL               3         0       8.7    26.89            
KXCZEFLTOTAL                3         0       10.5   23.15            
KXSCOTTISHPREMTOTAL         3         0       9.7    37.58            
KXLEAGUESCUPADVANCE         3         1       33.7   30.64    -61.42  
KXAFCCLTOTAL                3         0       13.4   53.28            
KXCONMEBOLLIBGAME           3         1       13.3   23.17    -17.21  
KXAFLGAME                   3         1       22.0   34.30    -72.00  
KXNETFLIXTOPVIEWSMOVIE      3         0       19.1   98.55            
KXFINYLTOTAL                3         2       7.1    114.16   -605.22 
KXWNBA2QTOTAL               3         0       13.0   40.49            
KXECULPSPREAD               3         1       9.6    26.94    -134.00 
KXCOPPAITALIAGAME           3         0       10.5   32.48            
KXXRPD                      2         0       20.7   79.24            
KXEFLL1TOTAL                2         0       6.0    20.65            
KXNETFLIXRANKSHOWRUNNERUP   2         1       12.5   89.56    -519.89 
KXYTDAILYTOPVIDEOG          2         0       52.7   45.00            
KXMYSLTOTAL                 2         1       9.5    11.82    -144.92 
KXPGATOP20                  2         0       16.0   498.50           
KXUCLBTTS                   2         0       7.5    10.33            
KXCOPPERW                   2         1       10.4   6.89     -4.32   
KXDIESELW                   2         1       44.5   74.67    -246.00 
KXUCL1HTOTAL                2         0       8.9    48.72            
KXEFLCHAMPIONSHIPSPREAD     2         0       6.5    27.05            
KXCFLSPREAD                 2         0       51.4   167.86           
KXLOLTOTALMAPS              2         0       17.0   43.40            
KXSUPERLIGSPREAD            2         0       6.8    41.82            
KXOPENSHARE                 2         0       17.0   41.90            
KXUFCMOF                    2         0       22.2   5.88             
KXSAUDIPLSPREAD             2         0       18.0   17.75            
KXRANKLISTSONGTOP10         2         0       68.3   46.63            
KXLIGUE1SPREAD              2         0       10.0   40.86            
KXTRUMPSAYCOMPANY           2         0       7.8    192.40           
