# ops request [READ]
# type=db  id=rl-graduation-seed-1
# code 46661a984dc183c0df68f5291df2026ad00e570a · started 2026-09-05T20:30:21Z
series                      classified  settled_markets  markets  pnl    
KXWCCORNERS                 True        33               33       -7.95  
KXCPLMATCH                  True        32               32       1.10   
KXUCLGAME                   True        32               32       4.56   
KXLIGAMXSPREAD              True        32               32       6.83   
KXMLBASGHR                  True        31               31       11.39  
KXALLSVENSKANTOTAL          True        31               31       1.77   
KXDPWORLDTOUR               True        31               31       1.72   
KXUFCVICROUND               True        31               31       1.95   
KXPERLIGA1GAME              True        30               30       0.87   
KXJLEAGUETOTAL              True        28               28       1.74   
KXBRASILEIROTOTAL           True        28               28       -1.83  
KXBRENTD                    True        28               28       4.53   
KXECULPTOTAL                True        28               28       6.50   
KXINX                       True        28               28       1.71   
KXFEDMENTION                True        27               27       14.68  
KXNPBTOTAL                  True        27               27       0.74   
KXCLUBFSPREAD               True        27               27       4.49   
KXWCFIRSTGOAL               True        26               26       7.24   
KXWC1HTOTAL                 True        26               26       -3.27  
KXNFLPASSYDS                True        26               28       0.62   
KXWC2H                      True        26               26       0.23   
KXWCAST                     True        25               26       15.14  
KXCHNSLTOTAL                True        25               25       -1.33  
KXCOPPERD                   True        25               25       8.53   
KXSERIEAGAME                False       25               27       2.32   
KXNWSLGAME                  True        24               24       -3.12  
KXEGYPLGAME                 False       23               23       1.71   
KXDIMAYORGAME               True        23               27       2.77   
KXSOLD                      False       23               23       2.78   
KXLOLMAP                    True        23               23       0.27   
KXCHAMPTOUR                 True        23               23       -3.20  
KXTESTMATCH                 True        23               24       -10.85 
KXJLEAGUEGAME               True        23               23       3.50   
KXSERIEATOTAL               False       23               24       1.00   
KXSAUDIPLGAME               True        22               22       0.48   
KXALLSVENSKANGAME           True        22               22       -6.67  
KXCONMEBOLSUDTOTAL          True        22               22       3.88   
KXGOLDW                     True        22               22       2.77   
KXLPGATOUR                  True        22               22       6.16   
KXWNBA1HTOTAL               True        22               22       1.43   
KXYTVIEWSHIGH               True        21               21       -7.18  
KXCHNSLGAME                 True        20               20       -2.41  
KXCS2MAP                    True        20               20       1.98   
KXTRUTHSOCIAL               True        20               26       -14.05 
KXBRENTW                    True        20               20       13.45  
KXEFLCHAMPIONSHIPTOTAL      True        20               20       -2.36  
KXAPFDDHTOTAL               True        20               20       -2.18  
KXETH                       False       20               20       9.99   
KXMLBASGMVP                 True        19               19       4.31   
KXATPGTOTAL                 True        19               19       -1.70  
KXSILVERD                   True        19               19       -8.41  
KXAAAGASM                   True        19               19       2.23   
KXBIGBROTHERELIMINATION     True        19               19       -3.49  
KXTRUMPSAYMONTH             True        18               18       -8.40  
KXHORMUZWEEKLY              True        18               18       8.81   
KXCONMEBOLLIBTOTAL          True        18               18       3.31   
KXCOPPAITALIATOTAL          True        18               18       -10.82 
KXWTADOUBLES                True        17               17       7.17   
KXPGATOP20                  True        17               17       9.97   
KXMLBRFI                    False       17               17       3.00   
KXBUNDESLIGAGAME            False       17               17       -0.45  
KXNASDAQ100                 True        17               17       3.75   
KXNWSLTOTAL                 True        17               17       -11.58 
KXBTCMAXMON                 True        16               16       -23.20 
KXSAUDIPLTOTAL              True        16               16       4.40   
KXMLBHRDERBYFORECAST        True        16               16       2.56   
KXLIGUE1GAME                False       16               21       0.44   
KXATPDOUBLES                True        16               16       -1.72  
KXNBASUMMERTOTAL            True        16               16       3.89   
KXMLBRBI                    True        15               15       0.83   
KXLIGAPORTUGALGAME          True        15               15       -13.30 
KXEGYPLTOTAL                False       15               15       3.48   
KXITFDOUBLES                True        15               15       -1.20  
KXUECLGAME                  True        15               15       3.35   
KXLIVTOUR                   True        15               15       4.95   
KXASEANTOTAL                True        14               14       2.36   
KXUSLGAME                   True        14               14       1.63   
KXBOXING                    True        14               17       4.22   
KXBUNDESLIGATOTAL           False       14               14       1.90   
KXBRASILEIROBTOTAL          True        14               14       0.80   
KXNFL1HTOTAL                True        14               14       -1.52  
KXEREDIVISIETOTAL           True        14               15       5.88   
KXNFL1HSPREAD               False       14               14       3.14   
KXDIMAYORTOTAL              True        14               14       3.66   
KXWNBA1HSPREAD              True        14               14       -2.34  
KXPERLIGA1TOTAL             True        14               14       2.87   
KXDENSUPERLIGAGAME          True        13               13       2.31   
KXBELGIANPLTOTAL            True        13               13       3.39   
KXWCFTTS                    True        13               13       0.38   
KXAPFDDHGAME                True        13               13       0.33   
KXVALORANTMAP               False       13               13       0.53   
KXENGCSSCORE                True        13               13       1.16   
KXAPRPOTUS                  True        13               13       4.53   
KXUELTOTAL                  True        13               13       2.33   
KXFIBAGAME                  False       13               13       1.44   
KXUCLSPREAD                 True        13               13       2.56   
KXMLBHRDERBYMATCHUP         True        13               13       0.03   
KXTRUMPSAYCOMPANY           True        12               12       4.13   
KXINDYCARRACE               False       12               12       3.55   
KXLIGAEXPTOTAL              True        12               12       -0.73  
KXH200WS                    True        12               12       4.43   
KXUEFASCSCORE               True        12               12       0.97   
KXUELGAME                   True        12               12       2.13   
KXLIGAEXPGAME               True        12               12       1.99   
KXPGATOP10                  True        12               12       6.82   
KXWCATTEND                  True        12               12       -8.01  
KXSUPERLIGTOTAL             True        12               12       2.76   
KXDENSUPERLIGATOTAL         True        12               12       3.72   
KXLALIGA2GAME               True        12               12       3.46   
KXHUNDREDMATCH              True        12               12       -0.64  
KXXRPD                      False       11               11       1.58   
KXWHUNDREDMATCH             True        11               11       2.99   
KXTRUEV                     False       11               11       2.66   
KXLIGUE1TOTAL               False       11               11       2.70   
KXLIGAPORTUGALTOTAL         True        11               11       5.79   
KXSUPERLIGGAME              True        11               11       0.76   
KXNCAAF1HSPREAD             False       11               12       1.76   
KXEREDIVISIEGAME            True        11               12       4.62   
KXBELGIANPLGAME             True        11               11       -15.05 
KXDOTA2MAP                  True        11               11       1.90   
KXLEAGUESCUPTEAMTOTAL       True        11               11       3.15   
KXXRPMAXMON                 False       11               11       -10.92 
KXNETFLIXRANKSHOW           True        10               10       3.41   
KXRTX5090WS                 True        10               13       2.91   
KXWCBTTS                    True        10               10       -1.39  
KXTRUMPMEET                 True        10               10       0.58   
KXB200WS                    True        10               10       2.03   
KXCFLSPREAD                 False       10               10       3.36   
KXCHLLDPTOTAL               True        10               13       -0.51  
KXNBATEAMANNOUNCE           True        10               10       -7.70  
KXSILVERMON                 False       10               10       2.43   
KXUAEPLGAME                 True        10               10       0.18   
KXBRENTMON                  True        10               10       3.10   
KXGOLDMON                   True        10               10       3.05   
KXCHLLDPGAME                True        10               12       0.92   
KXBUNDESLIGA2GAME           True        10               10       1.47   
KXAPRPOTUSD                 True        9                9        -0.11  
KXELITESERIENTOTAL          True        9                9        4.61   
KXNFL1H                     False       9                9        1.69   
KXUAEPLTOTAL                True        9                9        -10.95 
KXECONSTATCPIYOY            True        9                9        3.64   
KXLEAGUESCUP1HTOTAL         True        9                9        1.83   
KXCONMEBOLSUDGAME           True        9                9        1.72   
KXARGNACBGAME               True        9                9        -3.38  
KXWNBATEAMTOTAL             True        8                8        2.12   
KXASEANGAME                 True        8                8        0.98   
KXSCOTTISHPREMGAME          False       8                8        1.63   
KXNASCARRACE                True        8                29       1.14   
KXTFF1LIGTOTAL              False       8                8        2.09   
KXPAYROLLS                  False       8                8        -10.34 
KXMLBHRDERBY                True        8                8        -1.10  
KXLEAGUESCUP1H              True        7                7        2.78   
KXH100WS                    True        7                7        -0.14  
KXTFF1LIGGAME               False       7                7        2.13   
KXSOLMAXMON                 False       7                7        -13.44 
KXELITESERIENGAME           True        7                7        0.56   
KXDIESELD                   False       7                7        -5.31  
KXLIGAMX1HTOTAL             True        7                7        -0.72  
KXPGATOP5                   True        7                7        4.46   
KXCPICOMBO                  True        7                7        3.42   
KXALLSVENSKANSPREAD         True        7                7        4.24   
KXLNBPGAME                  True        7                7        1.65   
KXYTTOPVIDEOG2D             True        7                7        -2.67  
KXMLBHRDERBYDISTANCE        True        7                7        4.86   
KXNETFLIXRANKSHOWRUNNERUP   True        7                7        -4.05  
KXNETFLIXTOPVIEWSTV         True        7                7        4.57   
KXAFCCLTOTAL                False       6                6        1.60   
KXCZEFLGAME                 True        6                6        1.40   
KXITFWDOUBLES               True        6                6        -0.06  
KXCONMEBOLLIBGAME           True        6                6        0.36   
KXCODGAME                   True        6                6        1.84   
KXLIGAMX1H                  False       6                6        1.02   
KXLIUSAELIMINATIONW         True        6                6        1.47   
KXCHESSTOURNAMENT           True        6                6        0.61   
KXTOPMODEL                  True        6                6        2.06   
KXBUNDESLIGA2TOTAL          True        6                6        0.81   
KXWODIMATCH                 True        6                6        1.49   
