# ops request [READ]
# type=script  id=audit-rules-full
# code 5b49a66d9e354722f45d65d69becccee267820bc · started 2026-09-06T18:01:42Z
# SERIES RULES AUDIT
# audited 138 graduated series | CONFIRMS=118 CONTRADICTS=4 INSUFFICIENT=16
# NOT A GATE. Emits evidence; a human's PR against the manifest records the review.
# Only CONFIRMS may be written as rules_reviewed_at — see --emit-patch.

## CONTRADICTS (4) — the recorded settlement mode is WRONG — read these first
  series                   recorded   implied    docs  mkts  why
  KXNFLPASSYDS             in_play    in_play       8     8  rules text agree with the recorded in_play
  KXNFLSPREAD              in_play    in_play       8     8  rules text agree with the recorded in_play
  KXNFLTOTAL               in_play    in_play       8     8  rules text agree with the recorded in_play
  KXNPBGAME                in_play    in_play       8     8  rules text agree with the recorded in_play
  KXNPBTOTAL               in_play    in_play       8     8  rules text agree with the recorded in_play
  KXNWSLGAME               in_play    in_play       8     8  rules text agree with the recorded in_play
  KXODIMATCH               in_play    in_play       8     8  rules text agree with the recorded in_play
  KXPERLIGA1GAME           in_play    in_play       8     8  rules text agree with the recorded in_play
  KXPGATOUR                in_play    in_play       8     8  rules text agree with the recorded in_play
  KXSAUDIPLGAME            in_play    in_play       8     8  rules text agree with the recorded in_play
  KXT20MATCH               in_play    in_play       8     8  rules text agree with the recorded in_play
  KXTESTMATCH              in_play    in_play       8     8  rules text agree with the recorded in_play
  KXUCLGAME                in_play    in_play       8     8  rules text agree with the recorded in_play
  KXUCLTOTAL               in_play    in_play       8     8  rules text agree with the recorded in_play
  KXUFCFIGHT               in_play    in_play       8     8  rules text agree with the recorded in_play
  KXUFCMOV                 in_play    in_play       8     8  rules text agree with the recorded in_play
  KXUFCVICROUND            in_play    in_play       8     8  rules text agree with the recorded in_play
  KXVALORANTGAME           in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWC1H                   in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWC1HSCORE              in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWC1HTOTAL              in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWC2H                   in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWCAST                  in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWCCORNERS              in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWCFIRSTGOAL            in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWCGAME                 in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWCGOAL                 in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWCMOV                  in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWCSCORE                in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWCSOA                  in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWCSPREAD               in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWCTCORNERS             in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWCTEAMTOTAL            in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWCTOTAL                in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWNBA1HTOTAL            in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWNBAGAME               in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWNBAPTS                in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWNBASPREAD             in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWNBATOTAL              in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWTACHALLENGERMATCH     in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWTAMATCH               in_play    in_play       8     8  rules text agree with the recorded in_play
  KXWTASETWINNER           in_play    in_play       8     8  rules text agree with the recorded in_play
