# ops request [READ]
# type=db  id=lo-tc-radius-1
# code b6cdd9d4b1b0e4666485755e1f7b911bc142d4ab · started 2026-09-07T13:53:15Z
family                   status    reason                                                                                                                                                                                                    n    first_seen                     last_seen                    
KXBRENTMON               canceled  timeout                                                                                                                                                                                                   5    2026-08-17 22:07:43.22583+00   2026-08-29 21:30:21.8742+00  
KXBRENTMON               filled    (null)                                                                                                                                                                                                    4    2026-08-18 02:54:52.463972+00  2026-08-28 18:58:45.513551+00
KXBRENTW                 canceled  timeout                                                                                                                                                                                                   10   2026-08-11 10:49:47.822638+00  2026-08-17 03:55:35.183281+00
KXBRENTW                 filled    (null)                                                                                                                                                                                                    2    2026-08-12 13:21:04.36872+00   2026-08-13 13:55:05.682412+00
KXBTC                    filled    (null)                                                                                                                                                                                                    58   2026-07-31 00:30:13.57819+00   2026-08-19 18:49:32.161588+00
KXBTC                    canceled  timeout                                                                                                                                                                                                   14   2026-08-10 04:22:53.255141+00  2026-08-17 20:33:57.643731+00
KXBTC                    canceled  (null)                                                                                                                                                                                                    7    2026-08-02 02:35:14.647476+00  2026-08-19 13:45:10.269587+00
KXBTC                    rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   3    2026-07-31 04:27:44.516835+00  2026-08-10 04:23:09.927241+00
KXBTCD                   filled    (null)                                                                                                                                                                                                    114  2026-07-13 16:24:45.738173+00  2026-09-07 02:03:54.184233+00
KXBTCD                   canceled  timeout                                                                                                                                                                                                   42   2026-07-13 13:51:36.653301+00  2026-08-19 01:06:47.698947+00
KXBTCD                   rejected  Kalshi API error 404 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"user_not_found","message":"user not found","details":"Exchange user not found. For Predictions: reference documentatio…  5    2026-08-29 02:36:33.955515+00  2026-08-30 09:33:51.004142+00
KXBTCD                   canceled  (null)                                                                                                                                                                                                    5    2026-07-31 02:24:20.644977+00  2026-08-19 16:29:51.931207+00
KXBTCD                   canceled  drain_unconfirmed                                                                                                                                                                                         3    2026-09-06 18:18:50.888903+00  2026-09-07 00:26:29.24019+00 
KXBTCD                   rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   3    2026-08-09 13:55:01.504838+00  2026-08-10 14:11:34.368988+00
KXBTCD                   rejected  Kalshi API error 410 on /trade-api/v2/portfolio/orders: {"error":{"code":"deprecated_v1_order_endpoint","message":"Please switch to the V2 endpoints","details":"https://docs.kalshi.com/api-reference/…  2    2026-07-13 12:18:09.053057+00  2026-07-13 12:48:38.959525+00
KXBTCD                   resting   (null)                                                                                                                                                                                                    1    2026-09-07 02:03:52.423107+00  2026-09-07 02:03:52.423107+00
KXBTCD                   canceled  book_stood_down                                                                                                                                                                                           1    2026-08-15 12:48:08.260644+00  2026-08-15 12:48:08.260644+00
KXBTCMAXMON              canceled  timeout                                                                                                                                                                                                   5    2026-07-18 04:07:56.173033+00  2026-08-18 18:55:13.142+00   
KXBTCMAXMON              filled    (null)                                                                                                                                                                                                    3    2026-07-28 11:13:45.074625+00  2026-08-28 14:46:26.598251+00
KXBUNDESLIGA2GAME        filled    (null)                                                                                                                                                                                                    1    2026-08-15 12:15:58.369515+00  2026-08-15 12:15:58.369515+00
KXBUNDESLIGAGAME         canceled  (null)                                                                                                                                                                                                    1    2026-08-29 14:14:14.996859+00  2026-08-29 14:14:14.996859+00
KXBUNDESLIGATOTAL        filled    (null)                                                                                                                                                                                                    2    2026-08-29 14:14:29.506052+00  2026-08-30 17:02:20.169005+00
